filename,label,frame_start,frame_end
Big Fish - 01599.avi,Kiss,1,650
Big Fish - 01599.avi,StandUp,1,976
Big Fish - 01750.avi,HandShake,1,89
Big Fish - 01864.avi,Kiss,1,137
Big Fish - 01872.avi,SitUp,615,770
Big Fish - 01872.avi,SitUp,1,905
Big Fish - 02027.avi,HandShake,1,185
Big Fish - 02254.avi,HugPerson,1,113
Big Fish - 02465.avi,AnswerPhone,740,1050
Big Fish - 02479.avi,HandShake,1200,1356
Big Fish - 02479.avi,SitDown,1360,1531
"Big Lebowski, The - 00818.avi",AnswerPhone,1,216
"Big Lebowski, The - 01673.avi",AnswerPhone,1,34
Bringing Out The Dead - 00239.avi,HugPerson,1,216
Bringing Out The Dead - 01740.avi,SitDown,1,91
"Butterfly Effect, The - 00339.avi",HugPerson,71,116
"Butterfly Effect, The - 00371.avi",StandUp,80,141
"Butterfly Effect, The - 00594.avi",Kiss,140,340
"Butterfly Effect, The - 00600.avi",StandUp,1,50
"Butterfly Effect, The - 00696.avi",SitUp,1,165
"Butterfly Effect, The - 00699.avi",SitUp,1,165
"Butterfly Effect, The - 00869.avi",StandUp,1,104
"Butterfly Effect, The - 01030.avi",Kiss,80,200
"Butterfly Effect, The - 01093.avi",HugPerson,1,140
"Butterfly Effect, The - 01376.avi",Kiss,1,91
"Butterfly Effect, The - 01450.avi",AnswerPhone,111,220
"Butterfly Effect, The - 01495.avi",SitDown,1,116
"Butterfly Effect, The - 01500.avi",Kiss,1,191
"Butterfly Effect, The - 01830.avi",SitDown,1,67
"Butterfly Effect, The - 01881.avi",StandUp,1,45
"Butterfly Effect, The - 02093.avi",StandUp,1,91
"Butterfly Effect, The - 02247.avi",Kiss,1,100
"Butterfly Effect, The - 02267.avi",Kiss,260,316
Casablanca - 00100.avi,HandShake,660,741
Casablanca - 00250.avi,SitDown,1,41
Casablanca - 00250.avi,SitDown,1,41
Casablanca - 00323.avi,SitDown,1150,1400
Casablanca - 00434.avi,SitDown,1,91
Casablanca - 00434.avi,SitDown,1,91
Casablanca - 00561.avi,SitDown,1,91
Casablanca - 00601.avi,StandUp,1,116
Casablanca - 00633.avi,SitDown,1,141
Casablanca - 00633.avi,SitDown,1,141
Casablanca - 00713.avi,SitDown,1,166
Casablanca - 00713.avi,SitDown,1,166
Casablanca - 00788.avi,StandUp,1,141
Casablanca - 00788.avi,StandUp,1,141
Casablanca - 00832.avi,SitDown,1,41
Casablanca - 00832.avi,SitDown,1,41
Casablanca - 00854.avi,StandUp,1,68
Casablanca - 00854.avi,StandUp,1,141
Casablanca - 00875.avi,SitDown,1,41
Casablanca - 01012.avi,SitDown,1,91
Casablanca - 01012.avi,SitDown,1,91
Casablanca - 01095.avi,SitDown,1,116
Casablanca - 01095.avi,SitDown,1,116
Casablanca - 01168.avi,SitDown,1,291
Casablanca - 01238.avi,SitDown,1,216
Casablanca - 01311.avi,Kiss,1,100
Casablanca - 01354.avi,Kiss,1,241
Casablanca - 01354.avi,Kiss,1,241
Casablanca - 01404.avi,Kiss,1,191
Casablanca - 01404.avi,Kiss,1,191
Casablanca - 01407.avi,Kiss,1,150
Casablanca - 01407.avi,Kiss,1,941
Casablanca - 01436.avi,SitDown,1,41
Casablanca - 01436.avi,SitDown,1,41
Casablanca - 01466.avi,StandUp,1,240
Casablanca - 01466.avi,StandUp,1,716
Casablanca - 01615.avi,HandShake,1,91
Casablanca - 01615.avi,HandShake,1,91
Casablanca - 01659.avi,StandUp,1,116
Casablanca - 01659.avi,StandUp,1,116
Casablanca - 01864.avi,StandUp,1,34
Casablanca - 01864.avi,StandUp,1,91
Casablanca - 01908.avi,SitDown,1,116
Casablanca - 01953.avi,SitDown,1,66
Casablanca - 01953.avi,SitDown,1,66
Casablanca - 02141.avi,HugPerson,1,166
Casablanca - 02153.avi,StandUp,1,120
Casablanca - 02153.avi,StandUp,1,166
Casablanca - 02172.avi,Kiss,1,62
Casablanca - 02172.avi,Kiss,1,116
Casablanca - 02214.avi,StandUp,1,116
Casablanca - 02214.avi,StandUp,1,116
Casablanca - 02254.avi,StandUp,1,41
Casablanca - 02276.avi,StandUp,1,108
Casablanca - 02276.avi,StandUp,1,166
Casablanca - 02354.avi,SitDown,160,391
Casablanca - 02354.avi,SitDown,1,391
Casablanca - 02357.avi,SitDown,1,116
Casablanca - 02357.avi,SitDown,1,116
Casablanca - 02382.avi,Kiss,1,141
Casablanca - 02382.avi,Kiss,1,141
Casablanca - 02388.avi,StandUp,1,191
Casablanca - 02393.avi,Kiss,1,200
Casablanca - 02497.avi,Kiss,1,170
Casablanca - 02497.avi,Kiss,1,416
Casablanca - 02507.avi,SitDown,1,116
Casablanca - 02507.avi,SitDown,1,116
Casablanca - 02680.avi,SitDown,1,116
Casablanca - 02680.avi,SitDown,1,116
Casablanca - 02722.avi,HandShake,1,116
Casablanca - 02722.avi,StandUp,1,116
Casablanca - 02858.avi,AnswerPhone,1,291
Casablanca - 02858.avi,AnswerPhone,1,291
Casablanca - 02886.avi,GetOutCar,205,416
Casablanca - 02886.avi,GetOutCar,1,416
Casablanca - 03025.avi,AnswerPhone,1,141
Casablanca - 03025.avi,AnswerPhone,1,141
"Crying Game, The - 00518.avi",StandUp,1,137
"Crying Game, The - 00900.avi",GetOutCar,650,856
"Crying Game, The - 00952.avi",SitDown,1,496
"Crying Game, The - 00970.avi",SitUp,1,137
"Crying Game, The - 01007.avi",SitDown,1,105
"Crying Game, The - 01079.avi",SitDown,1,137
"Crying Game, The - 01156.avi",SitDown,1,113
"Crying Game, The - 01296.avi",Kiss,1,260
"Crying Game, The - 01296.avi",Kiss,1,449
"Crying Game, The - 01315.avi",Kiss,1,100
"Crying Game, The - 01315.avi",Kiss,1,161
"Crying Game, The - 01429.avi",SitDown,1,113
"Crying Game, The - 01429.avi",SitDown,1,113
"Crying Game, The - 01463.avi",Kiss,1,520
"Crying Game, The - 01482.avi",StandUp,1,329
"Crying Game, The - 01549.avi",SitDown,250,320
"Crying Game, The - 01549.avi",StandUp,1,473
"Crying Game, The - 01600.avi",Kiss,1,420
"Crying Game, The - 01600.avi",Kiss,1,593
"Crying Game, The - 01600.avi",SitUp,460,593
"Crying Game, The - 01603.avi",Kiss,650,760
"Crying Game, The - 01603.avi",SitUp,1,100
"Crying Game, The - 01603.avi",StandUp,570,650
"Crying Game, The - 01615.avi",StandUp,1,50
"Crying Game, The - 01615.avi",StandUp,1,137
"Crying Game, The - 01780.avi",StandUp,1,50
"Crying Game, The - 01780.avi",StandUp,1,209
"Crying Game, The - 01835.avi",Kiss,1,50
"Crying Game, The - 01835.avi",Kiss,1,425
"Crying Game, The - 01905.avi",Kiss,1,353
"Crying Game, The - 01905.avi",Kiss,1,353
"Crying Game, The - 01989.avi",Kiss,1,185
"Crying Game, The - 01989.avi",Kiss,1,185
"Crying Game, The - 02039.avi",SitDown,1,41
"Crying Game, The - 02201.avi",GetOutCar,1,250
"Crying Game, The - 02201.avi",GetOutCar,1,304
"Crying Game, The - 02262.avi",SitDown,1,257
"Crying Game, The - 02262.avi",SitDown,1,257
"Crying Game, The - 02307.avi",SitDown,1,281
"Crying Game, The - 02307.avi",SitDown,1,281
"Crying Game, The - 02398.avi",Kiss,1,233
"Crying Game, The - 02408.avi",GetOutCar,1169,1570
"Crying Game, The - 02420.avi",Kiss,1,140
"Crying Game, The - 02420.avi",Kiss,1,257
"Crying Game, The - 02492.avi",SitDown,1,209
"Crying Game, The - 02512.avi",StandUp,1,65
"Crying Game, The - 02515.avi",Kiss,189,300
"Crying Game, The - 02515.avi",Kiss,1,520
"Crying Game, The - 02515.avi",SitDown,431,520
"Crying Game, The - 02518.avi",SitDown,1,120
"Crying Game, The - 02518.avi",SitDown,1,209
"Crying Game, The - 02598.avi",StandUp,1,80
"Crying Game, The - 02598.avi",StandUp,1,161
"Crying Game, The - 02775.avi",SitDown,1,175
"Crying Game, The - 02775.avi",SitDown,1,304
Dead Poets Society - 00068.avi,SitDown,18,55
Dead Poets Society - 00148.avi,HandShake,163,233
Dead Poets Society - 00205.avi,HandShake,1,89
Dead Poets Society - 01587.avi,SitDown,1,377
Dead Poets Society - 01741.avi,AnswerPhone,144,195
Dead Poets Society - 02590.avi,SitUp,148,230
Double Indemnity - 00211.avi,SitDown,1,65
Double Indemnity - 00211.avi,SitDown,1,65
Double Indemnity - 00433.avi,SitDown,1,305
Double Indemnity - 00484.avi,SitDown,1,113
Double Indemnity - 00725.avi,Kiss,1,448
Double Indemnity - 00725.avi,Kiss,1,448
Double Indemnity - 00831.avi,HugPerson,1,161
Double Indemnity - 00831.avi,Kiss,1,161
Double Indemnity - 00842.avi,StandUp,1,137
Double Indemnity - 00842.avi,StandUp,1,137
Double Indemnity - 00872.avi,StandUp,1,137
Double Indemnity - 00880.avi,Kiss,1,41
Double Indemnity - 00932.avi,StandUp,1,113
Double Indemnity - 00932.avi,StandUp,1,113
Double Indemnity - 01014.avi,StandUp,1,137
Double Indemnity - 01073.avi,Kiss,1,544
Double Indemnity - 01330.avi,AnswerPhone,1,89
Double Indemnity - 01330.avi,AnswerPhone,1,89
Double Indemnity - 01336.avi,AnswerPhone,1,89
Double Indemnity - 01336.avi,AnswerPhone,1,89
Double Indemnity - 01412.avi,StandUp,1,41
Double Indemnity - 01442.avi,GetOutCar,1,113
Double Indemnity - 01442.avi,GetOutCar,1,113
Double Indemnity - 01461.avi,AnswerPhone,1,30
Double Indemnity - 01466.avi,AnswerPhone,1,137
Double Indemnity - 01466.avi,AnswerPhone,1,137
Double Indemnity - 01549.avi,GetOutCar,400,1280
Double Indemnity - 01598.avi,Kiss,1,113
Double Indemnity - 01598.avi,Kiss,1,113
Double Indemnity - 01605.avi,Kiss,1,137
Double Indemnity - 01605.avi,Kiss,1,137
Double Indemnity - 01716.avi,GetOutCar,1,89
Double Indemnity - 01727.avi,Kiss,1,209
Double Indemnity - 01727.avi,Kiss,1,209
Double Indemnity - 01762.avi,StandUp,1,137
Double Indemnity - 01824.avi,SitDown,1,89
Double Indemnity - 01824.avi,SitDown,1,89
Double Indemnity - 01878.avi,StandUp,1,113
Double Indemnity - 01878.avi,StandUp,1,113
Double Indemnity - 01977.avi,StandUp,1,137
Double Indemnity - 01977.avi,StandUp,1,137
Double Indemnity - 01998.avi,AnswerPhone,1,113
Double Indemnity - 02140.avi,Kiss,1,30
Double Indemnity - 02140.avi,Kiss,1,281
Double Indemnity - 02143.avi,StandUp,130,190
Double Indemnity - 02143.avi,StandUp,1,281
Double Indemnity - 02176.avi,SitDown,100,200
Double Indemnity - 02176.avi,StandUp,1,305
Double Indemnity - 02218.avi,SitDown,80,305
Double Indemnity - 02218.avi,StandUp,1,305
Double Indemnity - 02349.avi,AnswerPhone,1,57
Double Indemnity - 02349.avi,AnswerPhone,1,113
Double Indemnity - 02470.avi,SitDown,1,514
Double Indemnity - 02470.avi,SitDown,1,832
Double Indemnity - 02560.avi,SitDown,1,256
Double Indemnity - 02560.avi,SitDown,1,256
Double Indemnity - 02564.avi,StandUp,1,113
Double Indemnity - 02568.avi,AnswerPhone,1,113
Double Indemnity - 02580.avi,SitDown,1100,1300
Double Indemnity - 02654.avi,StandUp,1,137
Double Indemnity - 02679.avi,HugPerson,1,281
Double Indemnity - 02679.avi,Kiss,1,281
Double Indemnity - 02758.avi,StandUp,1,137
Double Indemnity - 02758.avi,StandUp,1,137
Erin Brockovich - 00816.avi,StandUp,1,50
Erin Brockovich - 01233.avi,StandUp,450,530
Erin Brockovich - 01768.avi,AnswerPhone,43,141
Erin Brockovich - 01916.avi,StandUp,1,91
Erin Brockovich - 02110.avi,SitDown,1,180
Erin Brockovich - 02137.avi,StandUp,1,180
Erin Brockovich - 02137.avi,StandUp,527,706
Erin Brockovich - 02262.avi,SitDown,130,241
Erin Brockovich - 03073.avi,SitDown,1,91
Fargo - 00332.avi,AnswerPhone,1,116
Fargo - 00695.avi,GetOutCar,1,340
Fargo - 00695.avi,GetOutCar,2950,3254
Fargo - 01189.avi,AnswerPhone,110,291
Fargo - 01493.avi,HugPerson,1,91
Fargo - 01984.avi,AnswerPhone,188,266
Forrest Gump - 00091.avi,StandUp,1,88
Forrest Gump - 00091.avi,StandUp,1,161
Forrest Gump - 00174.avi,SitDown,90,137
Forrest Gump - 00174.avi,SitDown,1,137
Forrest Gump - 00267.avi,SitDown,1,185
Forrest Gump - 00267.avi,SitDown,1,185
Forrest Gump - 00284.avi,HandShake,1,113
Forrest Gump - 00444.avi,HugPerson,1,89
Forrest Gump - 00444.avi,HugPerson,1,89
Forrest Gump - 00613.avi,StandUp,1,113
Forrest Gump - 00613.avi,StandUp,1,113
Forrest Gump - 00629.avi,GetOutCar,1,65
Forrest Gump - 00632.avi,StandUp,1,137
Forrest Gump - 00641.avi,GetOutCar,1,41
Forrest Gump - 00729.avi,HugPerson,1,304
Forrest Gump - 00729.avi,HugPerson,1,304
Forrest Gump - 00734.avi,HugPerson,1,257
Forrest Gump - 00734.avi,Kiss,1,257
Forrest Gump - 00771.avi,HandShake,39,122
Forrest Gump - 00771.avi,HandShake,1,112
Forrest Gump - 00776.avi,HandShake,1,113
Forrest Gump - 00776.avi,HandShake,1,113
Forrest Gump - 00785.avi,HandShake,1,89
Forrest Gump - 00785.avi,HandShake,1,89
Forrest Gump - 00813.avi,HandShake,1,89
Forrest Gump - 00813.avi,HandShake,1,89
Forrest Gump - 00848.avi,SitDown,1,185
Forrest Gump - 00860.avi,HandShake,1,89
Forrest Gump - 00860.avi,HandShake,1,89
Forrest Gump - 00981.avi,SitDown,1,45
Forrest Gump - 00981.avi,SitDown,1,89
Forrest Gump - 00981.avi,StandUp,46,72
Forrest Gump - 01056.avi,HugPerson,300,449
Forrest Gump - 01056.avi,SitDown,122,275
Forrest Gump - 01056.avi,SitDown,1,449
Forrest Gump - 01134.avi,SitDown,1,40
Forrest Gump - 01134.avi,SitDown,1,113
Forrest Gump - 01134.avi,StandUp,41,113
Forrest Gump - 01137.avi,SitDown,1,133
Forrest Gump - 01137.avi,SitDown,1,256
Forrest Gump - 01170.avi,StandUp,1,65
Forrest Gump - 01170.avi,StandUp,1,65
Forrest Gump - 01202.avi,SitDown,80,113
Forrest Gump - 01202.avi,SitDown,1,113
Forrest Gump - 01226.avi,HugPerson,1,113
Forrest Gump - 01274.avi,StandUp,1,160
Forrest Gump - 01277.avi,StandUp,1,70
Forrest Gump - 01350.avi,StandUp,24,89
Forrest Gump - 01360.avi,StandUp,1,65
Forrest Gump - 01477.avi,SitUp,246,360
Forrest Gump - 01477.avi,SitUp,1,616
Forrest Gump - 01510.avi,HandShake,79,137
Forrest Gump - 01510.avi,HandShake,1,137
Forrest Gump - 01692.avi,StandUp,1,305
Forrest Gump - 01692.avi,StandUp,1,305
Forrest Gump - 01778.avi,HugPerson,1,266
Forrest Gump - 01778.avi,HugPerson,1,713
Forrest Gump - 01799.avi,StandUp,1,89
Forrest Gump - 01802.avi,HandShake,153,233
Forrest Gump - 01802.avi,HandShake,1,233
Forrest Gump - 01805.avi,SitDown,1,113
Forrest Gump - 01805.avi,SitDown,1,113
Forrest Gump - 01963.avi,Kiss,130,300
Forrest Gump - 01963.avi,Kiss,1,305
Forrest Gump - 01973.avi,Kiss,1,113
Forrest Gump - 01973.avi,Kiss,1,113
Forrest Gump - 02182.avi,SitDown,1020,1300
Forrest Gump - 02202.avi,HandShake,1,89
Forrest Gump - 02495.avi,Kiss,1,89
Forrest Gump - 02518.avi,Kiss,1,500
Forrest Gump - 02800.avi,SitDown,1,41
Forrest Gump - 02855.avi,HandShake,1,113
Forrest Gump - 02855.avi,HandShake,1,113
Forrest Gump - 02862.avi,HandShake,1,35
Forrest Gump - 02862.avi,Kiss,1,100
Forrest Gump - 02862.avi,Kiss,1,353
Forrest Gump - 02971.avi,StandUp,1,209
Forrest Gump - 02971.avi,StandUp,1,209
Forrest Gump - 02983.avi,SitDown,1,41
Gandhi - 00276.avi,SitDown,1,41
Gandhi - 02122.avi,StandUp,1,116
Gandhi - 02262.avi,StandUp,1,250
Gandhi - 02785.avi,GetOutCar,340,700
"Godfather, The - 00068.avi",Kiss,1,100
"Godfather, The - 00542.avi",HandShake,1,141
"Godfather, The - 00717.avi",AnswerPhone,1,241
"Godfather, The - 00761.avi",AnswerPhone,120,241
"Godfather, The - 00957.avi",AnswerPhone,40,141
"Godfather, The - 00987.avi",StandUp,1,100
"Godfather, The - 00987.avi",StandUp,1,166
"Godfather, The - 01092.avi",GetOutCar,1,641
"Godfather, The - 01476.avi",GetOutCar,540,692
"Godfather, The - 01505.avi",StandUp,1,166
"Godfather, The - 01509.avi",SitDown,1,166
"Godfather, The - 01566.avi",Kiss,10,90
"Godfather, The - 02125.avi",SitUp,100,191
"Godfather, The - 02650.avi",GetOutCar,210,480
"Godfather, The - 02650.avi",HandShake,150,240
"Godfather, The - 02663.avi",Kiss,84,141
"Godfather, The - 02663.avi",Kiss,1,141
"Godfather, The - 02814.avi",HugPerson,100,491
"Godfather, The - 02819.avi",HugPerson,575,816
"Graduate, The - 00692.avi",SitDown,42,91
"Graduate, The - 00692.avi",StandUp,1,42
"Graduate, The - 00703.avi",StandUp,1,130
"Graduate, The - 00870.avi",HandShake,1,41
"Graduate, The - 00882.avi",HandShake,1,66
"Graduate, The - 00922.avi",SitDown,600,800
"Graduate, The - 00947.avi",SitDown,1,100
"Graduate, The - 01288.avi",SitDown,2965,3060
"Graduate, The - 01288.avi",StandUp,2169,2277
"Graduate, The - 01288.avi",StandUp,3740,3869
"Graduate, The - 01288.avi",StandUp,5940,6090
"Graduate, The - 02126.avi",Kiss,120,382
"Graduate, The - 02463.avi",HugPerson,1,91
"Graduate, The - 02872.avi",SitUp,220,350
"Graduate, The - 02967.avi",StandUp,1,391
"Graduate, The - 02996.avi",Kiss,300,766
"Graduate, The - 02996.avi",StandUp,1,300
"Graduate, The - 03129.avi",StandUp,1,116
"Graduate, The - 03146.avi",Kiss,340,440
"Graduate, The - 03406.avi",GetOutCar,1020,1123
"Graduate, The - 03417.avi",AnswerPhone,300,600
"Graduate, The - 03480.avi",GetOutCar,800,950
"Graduate, The - 03480.avi",Kiss,2533,2691
I Am Sam - 00859.avi,StandUp,1,40
I Am Sam - 01005.avi,HugPerson,1,241
I Am Sam - 01152.avi,AnswerPhone,1,116
I Am Sam - 01294.avi,SitDown,1,66
I Am Sam - 01423.avi,SitDown,1,91
I Am Sam - 01789.avi,HandShake,1,116
I Am Sam - 01870.avi,AnswerPhone,1,116
I Am Sam - 01870.avi,AnswerPhone,1,116
I Am Sam - 02206.avi,StandUp,1,116
I Am Sam - 02421.avi,HandShake,1,141
Independence Day - 00087.avi,AnswerPhone,100,305
Independence Day - 00087.avi,AnswerPhone,1,305
Independence Day - 00112.avi,SitUp,1,137
Independence Day - 00149.avi,SitDown,1,89
Independence Day - 00172.avi,AnswerPhone,50,137
Independence Day - 00172.avi,AnswerPhone,1,137
Independence Day - 00216.avi,StandUp,1,41
Independence Day - 00722.avi,StandUp,1,72
Independence Day - 00734.avi,SitUp,1,113
Independence Day - 00734.avi,StandUp,48,84
Independence Day - 00806.avi,AnswerPhone,28,120
Independence Day - 00806.avi,AnswerPhone,1,137
Independence Day - 01041.avi,SitDown,1,137
Independence Day - 01132.avi,AnswerPhone,1,185
Independence Day - 01132.avi,AnswerPhone,1,185
Independence Day - 01698.avi,StandUp,50,140
Independence Day - 02066.avi,HandShake,1,65
Independence Day - 02066.avi,HandShake,1,65
Independence Day - 02241.avi,StandUp,1,113
Independence Day - 02387.avi,Kiss,1,229
Independence Day - 02387.avi,Kiss,1,329
Independence Day - 02410.avi,Kiss,1,89
Independence Day - 02763.avi,HugPerson,1,190
Independence Day - 02763.avi,HugPerson,1,281
Independence Day - 02774.avi,HugPerson,1,233
Independence Day - 02774.avi,HugPerson,1,233
Independence Day - 03196.avi,HugPerson,2000,2130
Indiana Jones And The Last Crusade - 00109.avi,StandUp,1,88
Indiana Jones And The Last Crusade - 00379.avi,HandShake,1,89
Indiana Jones And The Last Crusade - 00545.avi,HandShake,1,113
Indiana Jones And The Last Crusade - 01008.avi,Kiss,1,209
Indiana Jones And The Last Crusade - 01011.avi,Kiss,1,233
Indiana Jones And The Last Crusade - 01021.avi,Kiss,1,305
Indiana Jones And The Last Crusade - 01373.avi,HugPerson,1,65
Indiana Jones And The Last Crusade - 01483.avi,Kiss,1,305
Indiana Jones And The Last Crusade - 02161.avi,HandShake,1,65
Indiana Jones And The Last Crusade - 02252.avi,StandUp,950,1100
Indiana Jones And The Last Crusade - 02359.avi,HugPerson,1,136
Its A Wonderful Life - 00426.avi,HugPerson,1,89
Its A Wonderful Life - 00597.avi,StandUp,1,41
Its A Wonderful Life - 00611.avi,SitDown,1,161
Its A Wonderful Life - 01026.avi,StandUp,1,89
Its A Wonderful Life - 01111.avi,StandUp,90,200
Its A Wonderful Life - 01111.avi,StandUp,288,360
Its A Wonderful Life - 01216.avi,HandShake,1,137
Its A Wonderful Life - 01301.avi,Kiss,1,136
Its A Wonderful Life - 01825.avi,GetOutCar,1,41
Its A Wonderful Life - 01876.avi,AnswerPhone,1,89
Its A Wonderful Life - 02175.avi,Kiss,1,257
Its A Wonderful Life - 02291.avi,HandShake,1,89
Its A Wonderful Life - 02639.avi,AnswerPhone,1,39
Its A Wonderful Life - 02639.avi,HandShake,39,89
Its A Wonderful Life - 02775.avi,AnswerPhone,1,89
Its A Wonderful Life - 02808.avi,Kiss,1,185
Its A Wonderful Life - 03084.avi,StandUp,180,281
Its A Wonderful Life - 03129.avi,AnswerPhone,1,89
Its A Wonderful Life - 03181.avi,AnswerPhone,326,424
Its A Wonderful Life - 03345.avi,GetOutCar,160,260
Its A Wonderful Life - 03879.avi,GetOutCar,460,520
Its A Wonderful Life - 03948.avi,StandUp,96,233
Its A Wonderful Life - 04024.avi,StandUp,26,89
Its A Wonderful Life - 04130.avi,StandUp,96,137
Its A Wonderful Life - 04218.avi,HandShake,1,89
Its A Wonderful Life - 04247.avi,HugPerson,104,161
Its A Wonderful Life - 04253.avi,HugPerson,1,36
Its A Wonderful Life - 04296.avi,Kiss,1,80
Kids - 00050.avi,Kiss,1,400
Kids - 00805.avi,StandUp,1,113
Kids - 00850.avi,Kiss,145,436
Kids - 01164.avi,HandShake,1,400
Kids - 01628.avi,Kiss,1,89
Kids - 01635.avi,Kiss,1,112
Kids - 01736.avi,Kiss,1,113
Kids - 01783.avi,Kiss,1,89
Kids - 01799.avi,Kiss,1,137
Kids - 01929.avi,Kiss,930,1288
LA Confidential - 00781.avi,AnswerPhone,1,257
LA Confidential - 01666.avi,Kiss,750,890
LA Confidential - 02052.avi,StandUp,300,377
LA Confidential - 02151.avi,SitDown,1,137
LOR-FellowshipOfTheRing - 01181.avi,SitUp,1796,1875
LOR-FellowshipOfTheRing - 01181.avi,StandUp,10,96
LOR-FellowshipOfTheRing - 01286.avi,SitUp,1,80
LOR-FellowshipOfTheRing - 01494.avi,SitUp,25,232
LOR-FellowshipOfTheRing - 01712.avi,Kiss,246,372
LOR-FellowshipOfTheRing - 02501.avi,SitUp,65,93
LOR-FellowshipOfTheRing - 02707.avi,HugPerson,1,410
Lost Highway - 00059.avi,AnswerPhone,1280,1370
Lost Highway - 00097.avi,Kiss,2000,2900
Lost Highway - 00181.avi,SitDown,1,188
Lost Highway - 00733.avi,SitDown,1250,1420
Lost Highway - 00733.avi,SitDown,2660,2900
Lost Highway - 00769.avi,StandUp,1,90
Lost Highway - 00769.avi,StandUp,228,366
